DISTRICT,SECTION,SCHEDULECODE,Population,Traffic (7am),Traffic (6pm),AM SCORE,PM SCORE,SQRT,SQRT,RAT SCORE,100*RAT/POP SCORE (RAT/POP*100),ROAD SCORE,ROAD/10 SCORE
MN01,MN011,1011A,28936,799,710,1.059,0.941,1.029,0.970,464,1.60,129,13.19
MN01,MN011,1011B,31321,1122,1096,1.012,0.988,1.006,0.994,667,2.13,252,25.77
MN01,MN013,1013A,6768,413,388,1.031,0.969,1.015,0.984,378,5.59,45,4.60
MN01,MN013,1013B,12783,571,605,0.971,1.029,0.985,1.014,529,4.14,113,11.56
MN02,MN021,1021A,21196,349,408,0.922,1.078,0.960,1.038,1229,5.80,197,20.15
MN02,MN021,1021B,8951,168,247,0.810,1.190,0.900,1.091,496,5.54,59,6.03
MN02,MN022,1022A,19038,38,75,0.673,1.327,0.820,1.152,441,2.32,88,9.00
MN02,MN022,1022B,16413,112,196,0.727,1.273,0.853,1.128,874,5.33,25,2.56
MN02,MN023,1023A,15109,89,185,0.650,1.350,0.806,1.162,194,1.28,46,4.70
MN02,MN023,1023B,12777,82,137,0.749,1.251,0.865,1.119,430,3.37,38,3.89
MN03,MN031,1031A,28899,582,631,0.960,1.040,0.980,1.020,913,3.16,67,6.85
MN03,MN031,1031B,24437,280,417,0.803,1.197,0.896,1.094,504,2.06,30,3.07
MN03,MN032,1032A,20260,108,152,0.831,1.169,0.911,1.081,653,3.22,28,2.86
MN03,MN032,1032B,12352,91,118,0.871,1.129,0.933,1.063,532,4.31,33,3.38
MN03,MN033,1033A,24419,292,376,0.874,1.126,0.935,1.061,1117,4.57,10,1.02
MN03,MN033,1033B,13446,89,160,0.715,1.285,0.845,1.134,664,4.94,28,2.86
MN03,MN034,1034A,22939,61,74,0.904,1.096,0.951,1.047,1310,5.71,10,1.02
MN03,MN034,1034B,16852,890,1337,0.799,1.201,0.894,1.096,668,3.96,35,3.58
MN04,MN041,1041A,17173,147,225,0.790,1.210,0.889,1.100,664,3.87,73,7.47
MN04,MN041,1041B,7477,106,147,0.838,1.162,0.915,1.078,339,4.53,40,4.09
MN04,MN042,1042A,25586,218,217,1.002,0.998,1.001,0.999,792,3.10,73,7.47
MN04,MN042,1042B,18472,60,154,0.561,1.439,0.749,1.200,231,1.25,87,8.90
MN04,MN043,1043A,20628,342,286,1.089,0.911,1.044,0.954,682,3.31,29,2.97
MN04,MN043,1043B,40372,159,167,0.975,1.025,0.988,1.012,1110,2.75,24,2.45
MN05,MN051,1051A,16225,186,329,0.722,1.278,0.850,1.130,517,3.19,142,14.52
MN05,MN051,1051B,22954,188,375,0.668,1.332,0.817,1.154,523,2.28,129,13.19
MN05,MN052,1052A,15837,291,366,0.886,1.114,0.941,1.056,309,1.95,113,11.56
MN05,MN052,1052B,8584,344,369,0.965,1.035,0.982,1.017,303,3.53,229,23.42
MN06,MN061,1061A,28812,161,204,0.882,1.118,0.939,1.057,437,1.52,46,4.70
MN06,MN061,1061B,25361,58,84,0.817,1.183,0.904,1.088,464,1.83,38,3.89
MN06,MN062,1062A,20925,141,183,0.870,1.130,0.933,1.063,404,1.93,7,0.72
MN06,MN062,1062B,35298,293,372,0.881,1.119,0.939,1.058,424,1.20,80,8.18
MN06,MN063,1063A,18632,1312,1424,0.959,1.041,0.979,1.020,285,1.53,61,6.24
MN06,MN063,1063B,23853,450,831,0.703,1.297,0.838,1.139,245,1.03,37,3.78
MN07,MN071,1071A,27414,88,229,0.555,1.445,0.745,1.202,680,2.48,50,5.11
MN07,MN071,1071B,31651,74,121,0.759,1.241,0.871,1.114,444,1.40,24,2.45
MN07,MN072,1072A,16344,94,125,0.858,1.142,0.927,1.068,1192,7.29,20,2.05
MN07,MN072,1072B,16678,429,534,0.891,1.109,0.944,1.053,734,4.40,21,2.15
MN07,MN073,1073A,22139,797,923,0.927,1.073,0.963,1.036,1281,5.79,23,2.35
MN07,MN073,1073B,24396,84,89,0.971,1.029,0.985,1.014,1227,5.03,29,2.97
MN07,MN074,1074A,20507,589,750,0.880,1.120,0.938,1.058,1147,5.59,14,1.43
MN07,MN074,1074B,21020,1558,1197,1.131,0.869,1.064,0.932,1161,5.52,25,2.56
MN07,MN075,1075A,20292,246,387,0.777,1.223,0.882,1.106,1510,7.44,15,1.53
MN07,MN075,1075B,21230,340,424,0.890,1.110,0.943,1.054,2457,11.57,21,2.15
MN08,MN081,1081A,10016,294,311,0.972,1.028,0.986,1.014,268,2.68,56,5.73
MN08,MN081,1081B,26095,161,165,0.988,1.012,0.994,1.006,398,1.53,44,4.50
MN08,MN082,1082A,18182,468,527,0.941,1.059,0.970,1.029,350,1.92,29,2.97
MN08,MN082,1082B,24781,242,272,0.942,1.058,0.970,1.029,638,2.57,19,1.94
MN08,MN083,1083A,17338,147,238,0.764,1.236,0.874,1.112,474,2.73,31,3.17
MN08,MN083,1083B,26295,877,848,1.017,0.983,1.008,0.992,1085,4.13,11,1.13
MN08,MN084,1084A,12648,387,472,0.901,1.099,0.949,1.048,187,1.48,22,2.25
MN08,MN084,1084B,24894,473,360,1.136,0.864,1.066,0.930,1380,5.54,12,1.23
MN08,MN085,1085A,19674,121,167,0.840,1.160,0.917,1.077,555,2.82,30,3.07
MN08,MN085,1085B,38975,1116,1327,0.914,1.086,0.956,1.042,1488,3.82,20,2.05
MN09,MN091,1091A,21874,293,404,0.841,1.159,0.917,1.077,603,2.76,22,2.25
MN09,MN091,1091B,8852,247,438,0.721,1.279,0.849,1.131,207,2.34,0,0.00
MN09,MN092,1092A,15190,44,65,0.807,1.193,0.899,1.092,617,4.06,17,1.74
MN09,MN092,1092B,23473,389,303,1.124,0.876,1.060,0.936,979,4.17,11,1.13
MN09,MN093,1093A,23197,35,76,0.631,1.369,0.794,1.170,1534,6.61,26,2.66
MN09,MN093,1093B,17872,151,170,0.941,1.059,0.970,1.029,1308,7.32,4,0.41
MN10,MN101,1101A,25008,610,639,0.977,1.023,0.988,1.012,3296,13.18,14,1.43
MN10,MN101,1101B,24174,96,150,0.780,1.220,0.883,1.104,2558,10.58,12,1.23
MN10,MN103,1103A,12845,706,709,0.998,1.002,0.999,1.001,697,5.43,4,0.41
MN10,MN103,1103B,16795,661,652,1.007,0.993,1.003,0.997,1157,6.89,0,0.00
MN10,MN104,1104A,32028,848,928,0.955,1.045,0.977,1.022,1431,4.47,2,0.20
MN10,MN104,1104B,19170,165,226,0.844,1.156,0.919,1.075,958,5.00,0,0.00
MN11,MN111,1111A,29655,29,47,0.763,1.237,0.874,1.112,1175,3.96,0,0.00
MN11,MN111,1111B,26678,460,385,1.089,0.911,1.043,0.955,719,2.70,0,0.00
MN11,MN112,1112A,20369,619,644,0.980,1.020,0.990,1.010,797,3.91,11,1.13
MN11,MN112,1112B,18257,742,631,1.081,0.919,1.040,0.959,1095,6.00,9,0.92
MN11,MN113,1113A,14114,749,539,1.163,0.837,1.078,0.915,605,4.29,0,0.00
MN11,MN113,1113B,15390,303,298,1.008,0.992,1.004,0.996,495,3.22,19,1.94
MN12,MN121,1121A,21392,201,253,0.885,1.115,0.941,1.056,795,3.72,10,1.02
MN12,MN121,1121B,22886,131,88,1.196,0.804,1.094,0.896,807,3.53,9,0.92
MN12,MN122,1122A,22816,165,221,0.855,1.145,0.925,1.070,849,3.72,14,1.43
MN12,MN122,1122B,23769,219,279,0.880,1.120,0.938,1.059,1262,5.31,15,1.53
MN12,MN123,1123A,26733,254,233,1.043,0.957,1.021,0.978,674,2.52,0,0.00
MN12,MN123,1123B,23349,67,86,0.876,1.124,0.936,1.060,1015,4.35,0,0.00
MN12,MN124,1124A,23541,199,243,0.900,1.100,0.949,1.049,1087,4.62,12,1.23
MN12,MN124,1124B,13439,568,649,0.933,1.067,0.966,1.033,837,6.23,4,0.41